denial_reason_1,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,loan_term,property_value,occupancy_type,applicant_age,income
10,3,4,5,2,1,1,185000,5.375,360,205000,1,0,54
10,3,4,3,2,2,32,285000,4.949534551,360,450057.0659,1,2,120
10,3,4,6,1,1,1,355000,4.949534551,360,450057.0659,1,2,75
10,3,0,6,3,1,1,235000,4.625,360,295000,1,2,114
10,3,2,5,1,1,31,155000,2.75,180,450057.0659,1,2,125.2476928
10,3,4,3,2,1,1,195000,5.25,360,245000,1,1,144
10,3,4,5,2,1,1,15000,4.949534551,120,450057.0659,1,4,137
5,3,4,5,2,2,1,345000,4.949534551,360,355000,1,6,82
10,3,0,6,3,1,32,415000,4.949534551,360,450057.0659,1,4,94
10,3,4,5,1,1,31,415000,2.75,180,1575000,1,2,306
10,3,4,5,1,2,1,205000,5.25,360,205000,1,2,85
10,3,4,5,1,1,31,135000,2.625,180,195000,1,4,57
10,3,4,5,1,2,1,175000,4.949534551,360,450057.0659,1,0,65
6,3,0,6,1,1,1,975000,4.949534551,360,1175000,1,1,204
10,3,0,6,1,1,1,505000,4.5,360,755000,1,4,194
10,3,4,5,3,1,1,475000,4.949534551,360,450057.0659,1,1,104
10,3,0,6,3,1,1,305000,2.99,180,345000,1,1,142
10,3,0,5,2,1,1,135000,2.625,180,185000,1,2,112
10,3,2,5,2,1,32,195000,4.125,360,355000,1,0,55
10,3,4,6,1,3,1,465000,4.99,360,635000,1,2,90
10,3,4,5,2,1,1,305000,7.125,360,355000,1,1,95
10,3,4,5,1,2,32,205000,6.08,325.5368732,475000,1,7,22
10,3,0,6,3,1,32,315000,6.167,360,635000,3,0,125.2476928
10,3,4,5,3,4,1,95000,5,360,95000,1,1,40
10,3,4,5,3,1,32,265000,4.949534551,360,450057.0659,1,3,90
10,3,4,5,1,1,1,335000,3.375,360,355000,1,0,56
10,3,2,5,3,1,31,595000,10.625,480,795000,3,1,286
3,3,4,1,1,1,32,315000,4.949534551,360,355000,1,4,102
10,3,0,7,4,2,1,365000,4.75,360,375000,1,5,125.2476928
10,3,4,5,1,1,1,315000,6.125,360,745000,2,3,483
10,3,0,7,4,2,1,265000,4.125,360,275000,1,5,125.2476928
10,3,0,6,3,1,31,335000,2.25,180,555000,1,3,201
10,3,4,5,1,1,4,235000,5.75,360,325000,1,4,108
10,3,0,6,2,1,31,645000,2.25,180,995000,1,1,248
10,3,4,5,1,3,1,335000,6.375,360,335000,1,1,132
10,3,2,5,2,1,31,115000,4.949534551,360,450057.0659,1,0,63
10,3,2,5,1,1,1,125000,5.625,360,165000,1,2,58
3,3,0,5,3,1,1,205000,4.949534551,360,275000,3,3,125.2476928
10,3,4,5,2,2,1,155000,4.949534551,360,450057.0659,1,6,98
10,3,2,5,1,1,32,365000,4.375,360,455000,1,3,80
10,3,4,5,2,1,32,365000,4.949534551,360,450057.0659,1,1,82
10,3,4,5,1,2,1,215000,4.949534551,360,450057.0659,1,6,100
10,3,4,2,2,1,32,425000,3.75,240,845000,3,1,110
