,total_loan_costs,derived_dwelling_category,derived_ethnicity,applicant_race_1,applicant_sex,loan_type,loan_purpose,loan_amount,interest_rate,total_loan_costs,loan_term,property_value,occupancy_type,applicant_age,income,denial_reason_1
1046,8776.49,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,1,1,635000,5.499,8776.49,360,795000,1,25-34,252,10
1047,35165,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,3,1,575000,5.25,35165,360,625000,1,55-64,73,10
1048,3919.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,365000,6.875,3919.95,360,475000,1,35-44,84,10
1051,8589.25,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,3,1,555000,4.25,8589.25,360,565000,1,35-44,152,10
1052,7241.85,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,1,1,385000,6.625,7241.85,360,515000,1,65-74,107,10
1054,14749.48,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,225000,5.625,14749.48,360,255000,1,55-64,86,10
1057,6675.92,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,255000,5.374,6675.92,348,285000,1,45-54,190,10
1058,1731.05,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,4,195000,3.375,1731.05,120,195000,1,55-64,141,10
1059,7753.87,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,205000,5.625,7753.87,360,245000,1,65-74,70,10
1060,205.6,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,4,685000,2.75,205.6,348,685000,1,35-44,180,10
1061,3224.7,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,5,1,1,1,135000,6.124,3224.7,360,205000,1,>74,37,10
1062,11326.76,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,285000,4.25,11326.76,360,305000,1,25-34,76,10
1063,4527.3,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,5,1,1,32,95000,6.499,4527.3,240,155000,1,35-44,49,10
1065,12197.85,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,625000,6.5,12197.85,360,775000,1,45-54,150,10
1067,5828.8,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,65000,4.999,5828.8,360,245000,1,55-64,81,10
1069,12616.61,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,355000,4.875,12616.61,360,425000,1,25-34,81,10
1070,18451.6,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,295000,4.999,18451.6,360,475000,1,55-64,137,10
1071,10128.6,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,645000,5.624,10128.6,360,735000,1,55-64,213,10
1072,20474.36,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,415000,5.25,20474.36,360,475000,1,35-44,117,10
1073,1895.15,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,75000,3.875,1895.15,299,75000,1,35-44,50,10
1074,9425.78,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,1,385000,5.999,9425.78,360,405000,1,45-54,124,10
1075,8467.65,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,165000,5.625,8467.65,360,205000,1,35-44,91,10
1076,14341.62,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,455000,4.625,14341.62,360,505000,1,25-34,82,10
1078,18411.37,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,245000,5.75,18411.37,360,265000,1,35-44,54,10
1079,1213.3,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,4,285000,2.375,1213.3,338,285000,1,35-44,72,10
1080,10834.09,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,315000,5.124,10834.09,348,395000,1,25-34,138,10
1081,11806.62,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,5,1,3,32,275000,4.125,11806.62,360,375000,1,>74,78,10
1083,14479.92,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,285000,4.499,14479.92,360,285000,1,25-34,81,10
1084,6215.48,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,1,1,415000,5.125,6215.48,360,435000,1,55-64,153,10
1087,8013.3,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,3,1,505000,4.499,8013.3,360,505000,1,45-54,121,10
1090,5908.3,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,155000,4.75,5908.3,360,165000,1,45-54,42,10
1092,6322.52,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,85000,6.125,6322.52,360,85000,1,35-44,50,10
1093,5105.62,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,205000,5.624,5105.62,360,235000,1,25-34,85,10
1094,6278.63,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,475000,4.999,6278.63,348,595000,1,35-44,102,10
1095,1765.8,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,4,315000,2.999,1765.8,344,315000,1,35-44,54,10
1096,11288,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,305000,5.56,11288,348,375000,1,35-44,92,10
1098,13194.39,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,3,1,605000,4.75,13194.39,360,765000,1,35-44,296,10
1100,16937.29,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,1,1,3,1,455000,4.75,16937.29,360,475000,1,35-44,190,10
1102,7926.28,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,32,145000,4.125,7926.28,360,245000,1,>74,70,10
1103,5232.18,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,535000,6.625,5232.18,360,565000,1,25-34,141,10
1104,9608.37,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,625000,4.999,9608.37,360,685000,1,35-44,196,10
1105,7311.29,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,175000,5,7311.29,360,265000,1,>74,34,10
1106,17311.64,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,1,2,1,305000,4.5,17311.64,360,315000,1,45-54,95,10
1107,5401.49,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,495000,5.124,5401.49,360,625000,1,65-74,195,10
1108,0,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,4,1,3,1,275000,2.75,0,334,275000,1,35-44,184,10
1109,5825.65,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,205000,4.999,5825.65,360,685000,1,45-54,132,10
1110,3523.73,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,35000,5.25,3523.73,360,35000,1,55-64,22,10
1111,6060.11,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,1,1,245000,4.999,6060.11,348,315000,1,25-34,101,10
1112,11946.84,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,565000,4.999,11946.84,360,705000,1,25-34,185,10
1114,1797.3,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,185000,2.75,1797.3,341,185000,1,25-34,94,10
1115,5216.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,105000,4.999,5216.25,180,275000,1,55-64,71,10
1119,10797.38,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,3,1,415000,4.75,10797.38,360,575000,1,25-34,85,10
1122,6674.38,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,1,1,525000,6.625,6674.38,360,555000,1,35-44,173,10
1124,7827.97,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,565000,6.375,7827.97,360,595000,1,55-64,264,10
1125,10855.54,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,545000,5.124,10855.54,348,605000,1,35-44,136,10
1128,6054.47,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,105000,5.124,6054.47,360,175000,1,45-54,60,10
1130,4735.83,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,505000,4.75,4735.83,360,505000,1,35-44,192,10
1132,10790.36,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,3,2,1,1,345000,4.875,10790.36,360,365000,1,35-44,88,10
1133,17227.67,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,375000,5.25,17227.67,360,365000,1,35-44,110,10
1134,14911.05,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,2,1,1,545000,5.124,14911.05,360,725000,1,35-44,103,10
1135,5407.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,175000,6.875,5407.95,348,225000,1,45-54,74,10
1136,26500.57,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,3,1,425000,4.25,26500.57,360,415000,1,25-34,138,10
1138,4343.3,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,285000,5.124,4343.3,360,615000,1,65-74,71,10
1141,5267.23,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,295000,5.624,5267.23,360,365000,1,25-34,127,10
1143,885.4,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,555000,3.49,885.4,344,555000,1,25-34,155,10
1144,9843.91,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,225000,5.125,9843.91,360,235000,1,<25,53,10
1145,10242.28,Single Family (1-4 Units):Site-Built,Joint,5,2,1,1,595000,4.999,10242.28,360,665000,1,35-44,225,10
1146,13537.83,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,3,1,215000,4.625,13537.83,360,215000,1,25-34,59,10
1148,15309.43,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,32,645000,4.875,15309.43,360,845000,1,35-44,156,10
1149,9077.04,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,645000,5.124,9077.04,348,685000,1,25-34,185,10
1151,1629.8,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,125000,2.5,1629.8,338,125000,1,25-34,38,10
1154,7148.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,3,1,275000,4.75,7148.25,360,275000,1,65-74,95,10
1155,5727.22,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,1,125000,6.625,5727.22,360,145000,2,35-44,106,10
1156,5552.34,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,1,1,475000,5.499,5552.34,360,495000,1,35-44,180,10
1157,13010.2,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,325000,5.625,13010.2,360,395000,1,45-54,137,10
1158,5720.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,365000,4.999,5720.25,180,595000,1,35-44,230,10
1159,6643.15,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,345000,5.124,6643.15,360,425000,1,25-34,74,10
1160,16618.67,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,32,235000,4.25,16618.67,360,305000,1,25-34,46,10
1161,4663.65,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,165000,5.624,4663.65,360,205000,1,25-34,64,10
1162,10499.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,625000,5.124,10499.95,360,665000,1,35-44,160,10
1166,22959.53,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,32,485000,3.625,22959.53,360,585000,1,35-44,149,10
1167,24892.71,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,455000,4.25,24892.71,360,445000,1,25-34,135,10
1168,4846.95,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,195000,4.999,4846.95,360,365000,1,45-54,91,10
1169,1472.63,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,31,85000,5.499,1472.63,360,165000,1,25-34,42,10
1170,630.3,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,295000,3.125,630.3,336,295000,1,35-44,149,10
1171,26040.74,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,3,32,305000,3.625,26040.74,360,335000,1,>74,43,10
1172,2430.17,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,185000,6.625,2430.17,360,235000,1,55-64,109,10
1175,11903.84,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,635000,5.624,11903.84,360,705000,1,25-34,204,10
1179,11851.39,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,3,1,235000,6,11851.39,360,295000,1,>74,51,10
1180,3217.28,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,235000,6.625,3217.28,360,295000,1,35-44,83,10
1181,7475.97,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,315000,6.75,7475.97,360,355000,1,55-64,126,10
1182,6514.96,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,32,155000,4.25,6514.96,360,175000,1,45-54,30,10
1184,12974.78,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,295000,5.25,12974.78,360,305000,1,25-34,73,10
1185,1856.43,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,3,1,245000,2.875,1856.43,349,245000,1,<25,107,10
1186,7393.28,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,2,32,115000,4.75,7393.28,240,155000,1,45-54,42,10
1189,3724.19,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,125000,6.5,3724.19,360,125000,1,25-34,47,10
1190,7140.4,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,355000,4.25,7140.4,360,355000,1,45-54,67,10
1191,12281.51,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,255000,4.25,12281.51,360,285000,1,25-34,73,10
1192,19227.52,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,32,285000,4.75,19227.52,360,325000,1,35-44,84,10
1193,9892.15,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,3,32,275000,4.25,9892.15,360,395000,1,65-74,81,10
1195,6023.15,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,1,1,195000,6.125,6023.15,360,245000,1,35-44,42,10
1197,9486.06,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,215000,6.25,9486.06,360,425000,1,65-74,131,10
1198,1705.05,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,315000,2.75,1705.05,351,475000,1,45-54,175,10
1199,8627.71,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,32,135000,4.75,8627.71,360,165000,1,55-64,85,10
1200,6852.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,205000,4.999,6852.25,360,535000,1,>74,68,10
1201,5266.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,85000,5.125,5266.25,360,175000,1,55-64,59,10
1202,14549.87,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,255000,6.625,14549.87,360,255000,1,45-54,110,10
1204,10312.55,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,285000,4.999,10312.55,360,475000,1,45-54,141,10
1206,4148.65,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,65000,6.625,4148.65,360,85000,1,<25,51,10
1208,4388.21,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,65000,4.5,4388.21,360,145000,1,35-44,74,10
1209,8863.5,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,32,245000,4.625,8863.5,360,305000,1,55-64,119,10
1211,7880.36,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,225000,4.75,7880.36,360,245000,1,35-44,96,10
1212,10058.36,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,3,1,335000,4.75,10058.36,360,335000,1,45-54,109,10
1213,17645.2,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,1,395000,6.125,17645.2,360,405000,1,25-34,125,10
1214,4413.88,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,85000,5.624,4413.88,360,85000,1,35-44,52,10
1215,13015.75,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,3,1,325000,5.25,13015.75,360,325000,1,55-64,116,10
1216,9062.65,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,615000,5.499,9062.65,348,655000,1,55-64,191,10
1217,5116.11,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,255000,5.999,5116.11,360,315000,1,45-54,108,10
1219,12065.15,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,575000,4.75,12065.15,360,575000,1,35-44,170,10
1220,3055.58,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,1,32,125000,5.624,3055.58,348,205000,1,25-34,56,10
1221,23999.51,Single Family (1-4 Units):Site-Built,Joint,5,1,3,1,315000,4.75,23999.51,360,305000,1,25-34,77,10
1222,12468.84,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,175000,6,12468.84,360,185000,1,35-44,54,10
1223,19591.23,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,565000,4.625,19591.23,360,615000,1,45-54,89,10
1224,6810,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,305000,6.125,6810,360,375000,1,45-54,78,10
1225,34004.22,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,3,1,675000,4.75,34004.22,360,675000,1,35-44,142,10
1226,2307.38,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,3,1,215000,2.625,2307.38,340,215000,1,35-44,55,10
1227,11023.48,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,285000,4.75,11023.48,360,285000,1,35-44,104,10
1229,6216.44,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,175000,4.75,6216.44,360,295000,1,45-54,73,10
1231,10186.22,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,32,135000,4.499,10186.22,360,315000,1,35-44,29,10
1234,27624.81,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,1,32,525000,3.125,27624.81,180,1005000,1,55-64,140,10
1237,21773.79,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,2,32,415000,4.75,21773.79,360,535000,1,45-54,91,10
1238,17943.62,Single Family (1-4 Units):Site-Built,Joint,5,2,2,1,585000,5.625,17943.62,360,645000,1,35-44,161,10
1240,8424.53,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,135000,5.56,8424.53,360,175000,1,35-44,50,10
1241,2726.31,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,285000,3.125,2726.31,334,295000,1,35-44,75,10
1243,9613.71,Single Family (1-4 Units):Site-Built,Joint,5,1,2,1,175000,5.625,9613.71,360,195000,1,25-34,77,10
1244,18876.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,32,295000,4.75,18876.95,360,365000,1,25-34,59,10
1250,8294.8,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,145000,6.625,8294.8,360,145000,1,55-64,38,10
1251,1328.3,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,4,225000,2.125,1328.3,159,225000,1,45-54,127,10
1252,21730.27,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,3,32,315000,4.999,21730.27,360,355000,1,25-34,59,10
1253,6372.01,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,32,155000,5.875,6372.01,360,255000,1,45-54,122,10
1256,14329.09,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,295000,4.75,14329.09,360,305000,1,25-34,107,10
1258,8920.66,Single Family (1-4 Units):Site-Built,Hispanic or Latino,4,1,1,32,165000,5.499,8920.66,348,225000,1,45-54,44,10
1259,2177.67,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,185000,5.875,2177.67,360,295000,1,35-44,68,10
1260,10457.51,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,1,1,225000,4.999,10457.51,360,285000,1,25-34,59,10
1261,13373.51,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,405000,5.625,13373.51,360,415000,1,55-64,120,10
1262,13632.34,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,2,32,185000,4.75,13632.34,360,295000,1,35-44,79,10
1264,6734.11,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,1,1,495000,6.5,6734.11,360,545000,1,45-54,145,10
1265,15429.57,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,32,355000,5.124,15429.57,360,505000,1,35-44,82,10
1266,17024.56,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,1,415000,5.625,17024.56,360,425000,1,35-44,130,10
1267,8439.22,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,1,125000,5.625,8439.22,360,125000,1,55-64,44,10
1268,10192.23,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,1,2,1,185000,5.625,10192.23,360,185000,1,35-44,103,10
1269,4552.05,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,445000,5.999,4552.05,360,555000,1,55-64,128,10
1270,1790.3,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,2,1,1,355000,2.625,1790.3,337,355000,1,45-54,110,10
1272,11518.44,Single Family (1-4 Units):Site-Built,Hispanic or Latino,3,1,1,32,255000,5.624,11518.44,348,315000,1,45-54,54,10
1274,9610.53,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,2,1,1,435000,6.125,9610.53,360,545000,1,35-44,286,10
1275,10066.5,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,5,1,1,1,225000,4.999,10066.5,360,725000,1,45-54,158,10
1276,9356.8,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,115000,5.625,9356.8,360,115000,1,65-74,36,10
1277,5120.99,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,6,2,1,1,285000,5.999,5120.99,348,305000,1,25-34,86,10
1279,7451.8,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,195000,5.999,7451.8,360,275000,1,45-54,58,10
1280,12689.23,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,32,295000,5.499,12689.23,360,465000,1,35-44,75,10
1281,12671.79,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,2,1,355000,5.499,12671.79,360,365000,1,35-44,96,10
1283,9191.91,Single Family (1-4 Units):Site-Built,Hispanic or Latino,3,1,2,32,105000,4.75,9191.91,360,135000,1,65-74,31,10
1285,21453.27,Single Family (1-4 Units):Site-Built,Free Form Text Only,5,1,3,1,475000,5.625,21453.27,360,465000,1,35-44,163,10
1286,6889.2,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,31,145000,5.875,6889.2,360,185000,1,25-34,38,10
1287,8095.75,Single Family (1-4 Units):Site-Built,Joint,5,2,1,1,285000,5.124,8095.75,360,305000,1,45-54,130,10
1289,6533.66,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,135000,4.624,6533.66,360,335000,1,55-64,44,10
1290,14354.24,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,1,2,1,185000,4.999,14354.24,360,245000,1,45-54,83,10
1296,13399.65,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,6,3,1,1,625000,5.499,13399.65,360,785000,1,65-74,164,10
1299,16830.95,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,32,225000,4.499,16830.95,360,225000,1,35-44,80,10
1300,2504.79,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,345000,2.25,2504.79,341,355000,1,45-54,85,10
1302,11919.14,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,2,32,235000,5.25,11919.14,360,285000,1,45-54,47,10
1304,14671.48,Single Family (1-4 Units):Site-Built,Joint,5,1,3,1,495000,5.125,14671.48,360,565000,1,35-44,145,10
1305,15596.69,Single Family (1-4 Units):Site-Built,Hispanic or Latino,6,1,3,1,375000,5.25,15596.69,360,435000,1,35-44,92,10
1306,9005.71,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,175000,4.75,9005.71,360,235000,1,55-64,35,10
1308,11333.77,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,235000,4.999,11333.77,360,365000,1,25-34,66,10
1309,8556.29,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,2,32,105000,4.374,8556.29,360,135000,1,35-44,42,10
1313,3903.65,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,195000,5.999,3903.65,360,345000,1,65-74,50,10
1314,18430.52,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,2,2,32,255000,4.999,18430.52,360,325000,1,55-64,121,10
1316,9883.09,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,32,295000,5.125,9883.09,360,295000,1,25-34,64,10
1317,12026.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,32,215000,4.999,12026.25,360,265000,1,65-74,97,10
1318,4348.69,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,1,205000,6.125,4348.69,360,265000,1,55-64,88,10
1319,7184.5,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,265000,5.499,7184.5,360,465000,1,35-44,95,10
1320,16762.75,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,2,32,275000,4.374,16762.75,360,335000,1,35-44,61,10
1321,6099.25,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2,2,1,1,445000,5.624,6099.25,360,775000,1,55-64,98,10
1322,11513.38,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,5,1,3,32,215000,4.999,11513.38,360,285000,1,35-44,98,10
1323,7256.29,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,3,1,3,1,305000,4.999,7256.29,360,305000,1,65-74,50,10
1324,19467.01,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,3,1,535000,4.75,19467.01,360,565000,1,45-54,191,10
1325,8050.75,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,175000,5.875,8050.75,360,775000,1,25-34,230,10
1326,4298.65,Single Family (1-4 Units):Site-Built,Hispanic or Latino,5,2,1,32,275000,6.625,4298.65,360,525000,1,35-44,96,10
1328,6905.29,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,3,1,465000,5.25,6905.29,360,475000,1,55-64,102,10
1331,13134.85,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,1,1,1,335000,5.75,13134.85,360,415000,1,45-54,203,10
1332,1825.8,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,5,2,1,4,375000,3.375,1825.8,330,375000,1,35-44,186,10
